"company_name","description","goal","outcome","category_name","subcategory_name"
"Tucker, Mccoy and Marquez","Synergistic tertiary budgetary management","6400.00","successful","theater","plays"
"Martin, Lee and Armstrong","Open-architected incremental ability","1600.00","successful","food","food trucks"
"Dunn, Moreno and Green","Intuitive object-oriented task-force","1900.00","successful","music","indie rock"
"Carlson-Hernandez","Quality-focused real-time solution","59200.00","successful","theater","plays"
"Mack Ltd","Reactive regional access","139000.00","successful","film & video","television"
"Hunt, Barker and Baker","Business-focused leadingedge instruction set","9400.00","successful","theater","plays"
"Ramos, Moreno and Lewis","Extended multi-state knowledge user","9200.00","successful","technology","wearables"
"Harris Inc","Future-proofed modular groupware","14900.00","successful","theater","plays"
"Cisneros Ltd","Vision-oriented regional hub","10000.00","successful","technology","web"
"Williams-Jones","Monitored incremental info-mediaries","600.00","successful","technology","web"
"Roberts, Hinton and Williams","Programmable static middleware","35000.00","successful","music","metal"
"Gonzalez, Williams and Benson","Multi-layered bottom-line encryption","6900.00","successful","photography","photography books"
"Park-Goodman","Customer-focused impactful extranet","5100.00","successful","film & video","documentary"
"Little Ltd","Decentralized bandwidth-monitored ability","6900.00","successful","journalism","audio"
"Payne, Garrett and Thomas","Upgradable bi-directional concept","48800.00","successful","theater","plays"
"Robinson Group","Re-contextualized homogeneous flexibility","16200.00","successful","music","indie rock"
"Robinson-Kelly","Monitored bi-directional standardization","97600.00","successful","theater","plays"
"Giles-Smith","Right-sized web-enabled intranet","9700.00","successful","journalism","audio"
"Thompson-Moreno","Expanded needs-based orchestration","62300.00","successful","photography","photography books"
"Davis Ltd","Synchronized motivating solution","1400.00","successful","food","food trucks"
"Nguyen and Sons","Compatible 5thgeneration concept","5400.00","successful","theater","plays"
"Jones PLC","Virtual systemic intranet","2300.00","successful","theater","plays"
"Gilmore LLC","Optimized systemic algorithm","1400.00","successful","publishing","nonfiction"
"Jones, Wiley and Robbins","Front-line cohesive extranet","7500.00","successful","technology","wearables"
"Martin, Gates and Holt","Distributed holistic neural-net","1500.00","successful","theater","plays"
"Bowen, Davies and Burns","Devolved client-server monitoring","2900.00","successful","film & video","television"
"Nguyen Inc","Seamless directional capacity","7300.00","successful","technology","web"
"Walsh-Watts","Polarized actuating implementation","3600.00","successful","film & video","documentary"
"Ray, Li and Li","Front-line disintermediate hub","5000.00","successful","film & video","documentary"
"Cardenas, Thompson and Carey","Configurable full-range emulation","9200.00","successful","music","rock"
"Fox-Williams","Profound system-worthy functionalities","128900.00","successful","music","electric music"
"Taylor, Wood and Taylor","Cloned hybrid focus group","42100.00","successful","technology","wearables"
"Mcclain LLC","Open-source multi-tasking methodology","52000.00","successful","theater","plays"
"Perez Group","Cross-platform tertiary hub","63400.00","successful","publishing","translations"
"Haynes-Williams","Seamless clear-thinking artificial intelligence","8700.00","successful","film & video","animation"
"Moreno Ltd","Customer-focused multimedia methodology","108400.00","successful","technology","web"
"Moore, Cook and Wright","Visionary maximized Local Area Network","7300.00","successful","film & video","drama"
"Ortega LLC","Secured bifurcated intranet","1700.00","successful","theater","plays"
"Silva, Walker and Martin","Grass-roots 4thgeneration product","9800.00","successful","theater","plays"
"Huynh, Gallegos and Mills","Reduced next generation info-mediaries","4300.00","successful","theater","plays"
"Garza-Bryant","Programmable leadingedge contingency","800.00","successful","theater","plays"
"Mays LLC","Multi-layered global groupware","6900.00","successful","publishing","radio & podcasts"
"Evans-Jones","Switchable methodical superstructure","38500.00","successful","music","rock"
"Tapia, Kramer and Hicks","Advanced modular moderator","2000.00","successful","theater","plays"
"Barnes, Wilcox and Riley","Reverse-engineered well-modulated ability","5600.00","successful","film & video","documentary"
"Reyes PLC","Expanded optimal pricing structure","8300.00","successful","technology","wearables"
"Pace, Simpson and Watkins","Down-sized uniform ability","6900.00","successful","publishing","fiction"
"Thomas-Simmons","Proactive 24hour frame","48500.00","successful","film & video","documentary"
"Beck-Knight","Exclusive fresh-thinking model","4900.00","successful","theater","plays"
"Mccoy Ltd","Business-focused encompassing intranet","8400.00","successful","theater","plays"
"Quinn, Cruz and Schmidt","Enterprise-wide multimedia software","8900.00","successful","technology","web"
"Moore Group","Multi-lateral object-oriented open system","5600.00","successful","film & video","drama"
"Carson PLC","Visionary system-worthy attitude","28800.00","successful","technology","wearables"
"Marquez-Kerr","Automated hybrid orchestration","15800.00","successful","music","metal"
"Stone PLC","Exclusive 5thgeneration leverage","4200.00","successful","theater","plays"
"Caldwell PLC","Grass-roots zero administration alliance","37100.00","successful","photography","photography books"
"Gardner Inc","Function-based systematic Graphical User Interface","3700.00","successful","music","indie rock"
"Garcia Ltd","Balanced mobile alliance","1200.00","successful","theater","plays"
"West-Stevens","Reactive solution-oriented groupware","1200.00","successful","music","electric music"
"Fitzgerald Group","Intuitive exuding initiative","2000.00","successful","theater","plays"
"Edwards LLC","Automated system-worthy structure","55800.00","successful","technology","web"
"Greer and Sons","Secured clear-thinking intranet","4900.00","successful","theater","plays"
"Hunter-Logan","Down-sized needs-based task-force","8600.00","successful","technology","wearables"
"Lane-Barber","Universal value-added moderator","3600.00","successful","publishing","nonfiction"
"Guerrero-Griffin","Networked web-enabled product","4700.00","successful","photography","photography books"
"Perez, Reed and Lee","Advanced dedicated encoding","70400.00","successful","theater","plays"
"Chen, Pollard and Clarke","Stand-alone multi-state project","4500.00","successful","theater","plays"
"Serrano, Gallagher and Griffith","Customizable bi-directional monitoring","1300.00","successful","theater","plays"
"Callahan-Gilbert","Profit-focused motivating function","1400.00","successful","film & video","drama"
"Logan-Miranda","Proactive systemic firmware","29600.00","successful","music","rock"
"Mitchell-Lee","Customizable leadingedge model","2200.00","successful","music","rock"
"Davis Ltd","Upgradable uniform service-desk","3500.00","successful","music","jazz"
"Rowland PLC","Inverse client-driven product","5600.00","successful","theater","plays"
"Shaffer-Mason","Managed bandwidth-monitored system engine","1100.00","successful","music","rock"
"Matthews LLC","Advanced transitional help-desk","3900.00","successful","music","indie rock"
"Ramirez-Calderon","Fundamental zero tolerance alliance","4800.00","successful","theater","plays"
"Mathis-Rodriguez","User-centric attitude-oriented intranet","4300.00","successful","theater","plays"
"Johnson-Pace","Persistent 3rdgeneration moratorium","149600.00","successful","music","indie rock"
"Meza, Kirby and Patel","Cross-platform empowering project","53100.00","successful","theater","plays"
"Gonzalez-Snow","Polarized user-facing interface","5000.00","successful","technology","web"
"Moss-Guzman","Cross-platform optimizing website","1300.00","successful","film & video","animation"
"Brooks-Rodriguez","Implemented intangible instruction set","5100.00","successful","film & video","drama"
"Williams and Sons","Centralized asymmetric framework","5100.00","successful","film & video","animation"
"Vega, Chan and Carney","Down-sized systematic utilization","7400.00","successful","music","rock"
"Byrd Group","Profound fault-tolerant model","88900.00","successful","technology","web"
"Peterson, Fletcher and Sanchez","Multi-channeled bi-directional moratorium","6700.00","successful","film & video","animation"
"Smith-Brown","Object-based content-based ability","1500.00","successful","music","jazz"
"Rodriguez, Cox and Rodriguez","Networked disintermediate leverage","1100.00","successful","publishing","nonfiction"
"Welch Inc","Optional optimal website","6600.00","successful","music","rock"
"Houston, Moore and Rogers","Optional tangible utilization","7600.00","successful","technology","web"
"Small-Fuentes","Seamless maximized product","3400.00","successful","theater","plays"
"Olson-Bishop","User-friendly high-level initiative","2300.00","successful","photography","photography books"
"Rodriguez, Anderson and Porter","Reverse-engineered zero-defect infrastructure","6200.00","successful","photography","photography books"
"Perez, Brown and Meyers","Stand-alone background customer loyalty","6100.00","successful","theater","plays"
"English-Mccullough","Business-focused discrete software","2600.00","successful","music","rock"
"Harmon-Madden","Adaptive holistic hub","700.00","successful","film & video","drama"
"Walker-Taylor","Automated uniform concept","700.00","successful","theater","plays"
"Ball-Fisher","Multi-layered intangible instruction set","6400.00","successful","theater","plays"
"Landry Group","Expanded value-added hardware","59700.00","successful","publishing","nonfiction"
"Buckley Group","Diverse high-level attitude","3200.00","successful","games","video games"
"Watson-Douglas","Centralized bandwidth-monitored leverage","9000.00","successful","music","rock"
"Jones, Casey and Jones","Ergonomic mission-critical moratorium","2300.00","successful","theater","plays"
"Alvarez-Bauer","Front-line intermediate moderator","51300.00","successful","publishing","nonfiction"
"Martinez LLC","Automated local secured line","700.00","successful","theater","plays"
"Valdez, Williams and Meyer","Cross-group heuristic forecast","1500.00","successful","music","rock"
"Alvarez-Andrews","Extended impactful secured line","4900.00","successful","film & video","documentary"
"Stewart and Sons","Distributed optimizing protocol","54000.00","successful","music","rock"
"Dyer Inc","Secured well-modulated system engine","4100.00","successful","music","rock"
"Anderson, Williams and Cox","Streamlined national benchmark","85000.00","successful","publishing","nonfiction"
"Solomon PLC","Open-architected 24/7 infrastructure","3600.00","successful","film & video","shorts"
"Miller-Hubbard","Digitized 6thgeneration Local Area Network","2800.00","successful","theater","plays"
"Miranda, Martinez and Lowery","Innovative actuating artificial intelligence","2300.00","successful","film & video","drama"
"Ward PLC","Front-line bottom-line Graphic Interface","97100.00","successful","photography","photography books"
"Bradley, Beck and Mayo","Synergized fault-tolerant hierarchy","43200.00","successful","publishing","translations"
"Levine, Martin and Hernandez","Expanded asynchronous groupware","6800.00","successful","publishing","translations"
"Gallegos, Wagner and Gaines","Expanded fault-tolerant emulation","7300.00","successful","theater","plays"
"Cook-Ortiz","Right-sized dedicated standardization","17700.00","successful","music","jazz"
"Jordan-Fischer","Vision-oriented high-level extranet","6400.00","successful","theater","plays"
"Pierce-Ramirez","Organized scalable initiative","7700.00","successful","film & video","documentary"
"Howell and Sons","Enhanced regional moderator","116300.00","successful","theater","plays"
"Garcia, Dunn and Richardson","Automated even-keeled emulation","9100.00","successful","technology","web"
"Lawson and Sons","Reverse-engineered multi-tasking product","1500.00","successful","technology","wearables"
"Williams LLC","Up-sized high-level access","69900.00","successful","technology","web"
"Cooper, Stanley and Bryant","Phased empowering success","1000.00","successful","technology","web"
"Miller, Glenn and Adams","Distributed actuating project","4700.00","successful","food","food trucks"
"Cole, Salazar and Moreno","Robust motivating orchestration","3200.00","successful","film & video","drama"
"Jones-Ryan","Vision-oriented uniform instruction set","6700.00","successful","music","indie rock"
"Bright and Sons","Object-based needs-based info-mediaries","6000.00","successful","music","electric music"
"Collier LLC","Secured well-modulated projection","17100.00","successful","music","indie rock"
"Campbell, Thomas and Obrien","Multi-channeled secondary middleware","171000.00","successful","publishing","fiction"
"Moses-Terry","Horizontal clear-thinking framework","23400.00","successful","theater","plays"
"Williams and Sons","Profound composite core","2400.00","successful","food","food trucks"
"Miranda, Gray and Hale","Programmable disintermediate matrices","5300.00","successful","film & video","shorts"
"Lee PLC","Re-contextualized leadingedge firmware","2000.00","successful","technology","wearables"
"Young, Ramsey and Powell","Devolved disintermediate analyzer","8800.00","successful","theater","plays"
"Lewis and Sons","Profound disintermediate open system","3500.00","successful","theater","plays"
"Davis-Johnson","Automated reciprocal protocol","1400.00","successful","film & video","television"
"Stevenson-Thompson","Automated static workforce","4200.00","successful","film & video","shorts"
"Ellis, Smith and Armstrong","Horizontal attitude-oriented help-desk","81000.00","successful","theater","plays"
"Kane, Pruitt and Rivera","Cross-platform next generation service-desk","4800.00","successful","food","food trucks"
"Wood, Buckley and Meza","Front-line web-enabled installation","7000.00","successful","theater","plays"
"Santana-George","Re-engineered client-driven knowledge user","71500.00","successful","theater","plays"
"Davis LLC","Compatible logistical paradigm","4700.00","successful","film & video","science fiction"
"Vazquez, Ochoa and Clark","Intuitive value-added installation","42100.00","successful","photography","photography books"
"Chung-Nguyen","Managed discrete parallelism","40200.00","successful","photography","photography books"
"Ortiz Inc","Stand-alone incremental parallelism","1000.00","successful","publishing","nonfiction"
"Craig, Ellis and Miller","Persevering 5thgeneration throughput","84500.00","successful","music","electric music"
"White-Rosario","Balanced demand-driven definition","800.00","successful","theater","plays"
"Simmons-Villarreal","Customer-focused mobile Graphic Interface","3400.00","successful","film & video","shorts"
"Lynch Ltd","Virtual analyzing collaboration","1800.00","successful","theater","plays"
"Palmer Ltd","Reverse-engineered uniform knowledge user","5800.00","successful","theater","plays"
"Santos Group","Secured dynamic capacity","5600.00","successful","music","electric music"
"Christian, Kim and Jimenez","Devolved foreground throughput","134400.00","successful","music","indie rock"
"Williams, Price and Hurley","Synchronized demand-driven infrastructure","3000.00","successful","film & video","documentary"
"Anderson, Parks and Estrada","Realigned discrete structure","6000.00","successful","publishing","translations"
"Collins-Martinez","Progressive grid-enabled website","8400.00","successful","film & video","documentary"
"Barrett Inc","Organic cohesive neural-net","1700.00","successful","film & video","television"
"Wright-Bryant","Reverse-engineered client-server extranet","19800.00","successful","food","food trucks"
"Best-Young","Implemented multimedia time-frame","3100.00","successful","music","jazz"
"Hogan Group","Versatile bottom-line definition","5600.00","successful","music","rock"
"Wang, Silva and Byrd","Integrated bifurcated software","1400.00","successful","technology","web"
"Haynes PLC","Re-engineered clear-thinking project","7900.00","successful","theater","plays"
"Hayes Group","Implemented even-keeled standardization","5500.00","successful","film & video","documentary"
"Bryant-Pope","Networked intangible help-desk","38200.00","successful","games","video games"
"Gates, Li and Thompson","Synchronized attitude-oriented frame","1800.00","successful","theater","plays"
"Carter, Cole and Curtis","Cloned responsive standardization","5800.00","successful","technology","web"
"Sanchez-Parsons","Reduced bifurcated pricing structure","1800.00","successful","film & video","drama"
"Riggs Group","Configurable upward-trending solution","125900.00","successful","film & video","television"
"Jones-Gonzalez","Seamless dynamic website","3800.00","successful","publishing","radio & podcasts"
"Green, Murphy and Webb","Versatile directional project","5300.00","successful","film & video","animation"
"Soto-Anthony","Ameliorated logistical capability","51400.00","successful","music","world music"
"Wise and Sons","Sharable discrete definition","1700.00","successful","theater","plays"
"Butler-Barr","User-friendly next generation core","39400.00","successful","theater","plays"
"Wilson, Jefferson and Anderson","Profit-focused empowering system engine","3000.00","successful","theater","plays"
"Dawson Group","Triple-buffered bi-directional model","167400.00","successful","technology","web"
"Turner-Terrell","Polarized tertiary function","5500.00","successful","theater","plays"
"Hall, Buchanan and Benton","Configurable fault-tolerant structure","3500.00","successful","theater","plays"
"Mora, Miller and Harper","Stand-alone zero tolerance algorithm","2300.00","successful","music","rock"
"Espinoza Group","Implemented tangible support","73000.00","successful","theater","plays"
"Davis, Crawford and Lopez","Reactive radical framework","6200.00","successful","theater","plays"
"Richards, Stevens and Fleming","Object-based full-range knowledge user","6100.00","successful","theater","plays"
"Allen Inc","Total dedicated benchmark","9200.00","successful","publishing","fiction"
"Peterson, Gonzalez and Spencer","Synchronized fault-tolerant algorithm","7500.00","successful","food","food trucks"
"Wright LLC","Seamless clear-thinking conglomeration","5900.00","successful","technology","web"
"Peterson Ltd","Re-engineered 24hour matrix","14500.00","successful","music","rock"
"Henderson, Parker and Diaz","Enterprise-wide client-driven policy","42600.00","successful","technology","web"
"Moss-Obrien","Function-based next generation emulation","700.00","successful","theater","plays"
"Riley, Cohen and Goodman","Profound mission-critical function","9800.00","successful","theater","plays"
"Green, Robinson and Ho","De-engineered zero-defect open system","1100.00","successful","film & video","animation"
"Mason, Case and May","Optimized content-based collaboration","5700.00","successful","publishing","translations"
"Harris, Russell and Mitchell","User-centric cohesive policy","3600.00","successful","food","food trucks"
"Peck, Higgins and Smith","Devolved disintermediate encryption","3700.00","successful","theater","plays"
"Nunez-King","Phased clear-thinking policy","2200.00","successful","music","rock"
"Davis and Sons","Seamless solution-oriented capacity","1700.00","successful","theater","plays"
"Howard-Douglas","Organized human-resource attitude","88400.00","successful","music","world music"
"Gonzalez-White","Open-architected disintermediate budgetary management","2400.00","successful","food","food trucks"
"Lopez-King","Multi-lateral radical solution","7900.00","successful","theater","plays"
"Sellers, Roach and Garrison","Multi-tiered systematic knowledge user","42700.00","successful","technology","web"
"Thomas, Clay and Mendoza","Multi-channeled reciprocal interface","800.00","successful","music","indie rock"
"Ayala Group","Right-sized maximized migration","5400.00","successful","theater","plays"
"Huerta, Roberts and Dickerson","Self-enabling value-added artificial intelligence","4000.00","successful","theater","plays"
"Bailey, Nguyen and Martinez","Fundamental user-facing productivity","1000.00","successful","games","video games"
"Williams, Martin and Meyer","Innovative well-modulated capability","60200.00","successful","theater","plays"
"Diaz-Little","Grass-roots executive synergy","6700.00","successful","technology","web"
"Beck-Weber","Business-focused full-range core","129100.00","successful","film & video","documentary"
"Lewis-Jacobson","Exclusive system-worthy Graphic Interface","6500.00","successful","theater","plays"
"Wilson Group","Ameliorated foreground focus group","6200.00","successful","film & video","documentary"
"Hernandez Inc","Versatile dedicated migration","2400.00","successful","publishing","translations"
"Ramirez LLC","Reduced reciprocal focus group","9800.00","successful","music","rock"
"Morrow Inc","Networked global migration","3100.00","successful","film & video","drama"
"Manning-Hamilton","Vision-oriented scalable definition","97300.00","successful","food","food trucks"
